Название вакансии,Компания,Зарплата,Ссылка
Программист,ООО СИНЕКТА,,https://tomsk.hh.ru/vacancy/103881503?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Сеть магазинов Постелька,от 100 000 ₽ на руки,https://tomsk.hh.ru/vacancy/99240127?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Головное подразделение Сибагро,138 000 – 175 000 ₽ на руки,https://tomsk.hh.ru/vacancy/92129406?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,"ЛАМА, Группа компаний",,https://tomsk.hh.ru/vacancy/95434837?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend Developer (.NET),TravelLine,до 300 000 ₽ на руки,https://tomsk.hh.ru/vacancy/104729368?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист МИС (медицинских информационных систем),СибГМУ,от 65 000 ₽ на руки,https://tomsk.hh.ru/vacancy/90144690?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Томский инструментальный завод,до 200 000 ₽ на руки,https://tomsk.hh.ru/vacancy/99234664?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Битрикс (Bitrix),ООО Синтез интеллектуальных систем,,https://tomsk.hh.ru/vacancy/105448748?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Центр Семейной Медицины,,https://tomsk.hh.ru/vacancy/75677026?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик С++ (стажер),АО ИнфоТеКС,,https://tomsk.hh.ru/vacancy/103892661?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик C/С++,Элекард,до 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/98423839?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend Developer,VR DEV,,https://tomsk.hh.ru/vacancy/104404932?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior разработчик С++,Элекард,от 30 000 ₽ на руки,https://tomsk.hh.ru/vacancy/98423853?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист встраиваемых систем,Алабуга. Проектный менеджмент,240 000 – 450 000 ₽ до вычета налогов,https://tomsk.hh.ru/vacancy/104205711?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle PHP fullstack разработчик,BlaBlaCar,,https://tomsk.hh.ru/vacancy/105042161?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
FullStack разработчик на поддержку веб-проектов (Php/React),Userstory,от 80 000 ₽ на руки,https://tomsk.hh.ru/vacancy/104890459?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
DevOps (стажер),АО ИнфоТеКС,,https://tomsk.hh.ru/vacancy/103892668?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик (Middle) в команду открытых данных,Дром,150 000 – 250 000 ₽ на руки,https://tomsk.hh.ru/vacancy/103544753?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Unity VR/AR developer (Junior),VR DEV,,https://tomsk.hh.ru/vacancy/104404384?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Erlang разработчик,UserGate,,https://tomsk.hh.ru/vacancy/95684202?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP + Node.JS developer,Digital Nomads,до 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/105517432?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист микроконтроллеров,ООО Частное агентство занятости Прайд Пром Инвест,200 000 – 200 000 ₽ на руки,https://tomsk.hh.ru/vacancy/105544854?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик (1С-Битрикс),Userstory,от 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/105433671?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С,Sibedge,,https://tomsk.hh.ru/vacancy/104976047?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик PHP 1С-Битрикс в офис,ООО Красная рамка,150 000 – 180 000 ₽ до вычета налогов,https://tomsk.hh.ru/vacancy/103702565?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист ПЦН,ООО ЧОП Барс-Лидер,от 45 000 ₽ на руки,https://tomsk.hh.ru/vacancy/95676831?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Embedded разработчик C/C++,UserGate,от 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/98510580?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
